Algorithm,CV RMSE (Mean),CV RMSE (Std),Train RMSE (Mean),Bias-Variance Gap,CV MAE (Mean),CV R2 (Mean)
LightGBM,0.4712731338454077,0.012221933596375384,0.3868631581275927,0.084409975717815,0.3156246912660103,0.8338034130394465
XGBoost,0.47393781502605864,0.008286860619164994,0.2521528074696918,0.22178500755636682,0.3158084354220463,0.8319405753916523
Random Forest,0.510886450788713,0.011872175941226764,0.19128083583136565,0.3196056149573473,0.3348989374420738,0.8046827366630094
Ridge Regression,0.7205088858296478,0.013894763714947519,0.7195616333434234,0.0009472524862244036,0.5290560444810609,0.6114574802309255
Linear Regression,0.7205095145054944,0.01389461587409899,0.7195615323607546,0.0009479821447397896,0.5290607356851638,0.611456745810643
Decision Tree,0.7337058676213615,0.02820130040373578,2.9138577272658615e-16,0.7337058676213611,0.4726924195596647,0.5965980264540726
Baseline (Mean),1.1561718526507854,0.012162799647627984,1.1561821509924275,-1.0298341642123177e-05,0.9139147454512726,-0.00021537376071179004
