latitude_band,mean_residual,mean_absolute_error,observations
"(32.531, 34.394]",0.007200143240957504,0.2864785857183702,2197
"(34.394, 36.248]",-0.018007439425265656,0.26694767238673106,226
"(36.248, 38.102]",-0.00838639580816522,0.2955350124330789,1167
"(38.102, 39.956]",-0.022163054706876645,0.2399454695183033,457
"(39.956, 41.81]",-0.0048156240196404404,0.13842782040892604,81
