KPI,Value
MAE,0.2799129649503516
RMSE,0.43151351141658784
Residual_R2,0.8579039722506825
Mean_Residual,-0.002072788775312189
Median_Absolute_Error,0.1771794423677444
Residual_Std,0.43156080858557444
Over_Prediction_Rate,56.4437984496124
Under_Prediction_Rate,43.5562015503876
